Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Firefox 91.0,,,2021-08-27 13:15:38,2021-08-27 13:16:01,23.008s,PASSED
,,,,,,,
Test Cases/test1,Firefox 91.0,,,2021-08-27 13:15:38,2021-08-27 13:15:48,9.854s,PASSED
"openBrowser(""www.google.com"")",Firefox 91.0,,,2021-08-27 13:15:38,2021-08-27 13:15:46,7.976s,PASSED
closeBrowser(),Firefox 91.0,,,2021-08-27 13:15:46,2021-08-27 13:15:48,1.464s,PASSED
,,,,,,,
Test Cases/test2,Firefox 91.0,,,2021-08-27 13:15:48,2021-08-27 13:16:01,12.702s,PASSED
"openBrowser(""www.youtube.com"")",Firefox 91.0,,,2021-08-27 13:15:48,2021-08-27 13:15:58,9.813s,PASSED
closeBrowser(),Firefox 91.0,,,2021-08-27 13:15:58,2021-08-27 13:16:01,2.481s,PASSED
